N	real_index	SN
1	214	0.607295
1	215	1.95107
1	216	0.605789
1	217	-0.23821
1	218	-0.516307
1	219	3.8184
1	220	-3.72724
1	221	0.463616
1	222	0.496608
1	223	1.53725
1	224	0.31361
1	225	-0.437993
1	226	13.1039
1	227	0.354522
1	228	-4.29651
1	229	0.168128
1	230	2.71406
1	231	0.421438
1	232	-0.144372
1	233	-21.6523
1	234	-0.334472
1	235	-0.473368
1	236	-1.75374
1	237	-2.1768
1	238	1.06293
1	239	-0.535052
1	240	-2.84962
1	241	-5.9642
1	242	-4.13452
1	243	3.26824
1	244	0.178024
1	245	-0.675627
1	246	0.260796
1	247	-1.0386
1	248	23.2739
1	249	0.618423
1	250	0.844802
1	251	-2.63557
1	252	0.893663
1	253	5.26792
1	254	-1.80234
1	255	0.691982
1	256	-11.8883
1	257	3.35917
1	258	-0.108484
1	259	1.30515
1	260	0.549549
1	261	-5.32101
1	262	-0.104717
1	263	3.13432
1	264	-0.554402
1	265	0.298903
1	266	0.605931
1	267	1.59537
1	268	-0.015363
1	269	4.83632
1	270	1.89731
1	271	-0.395783
1	272	-0.520347
1	273	0.0352179
1	274	-0.612452
1	275	8.29802
1	276	0.198602
1	277	-1.5894
1	278	6.92376
1	279	-0.244907
1	280	3.38308
1	281	1.09929
1	282	5.96916
1	283	0.00715823
1	284	-0.493737
1	285	-0.188272
1	286	0.743367
1	287	2.0617
1	288	0.413245
1	289	-4.23029
1	290	1.52854
1	291	-0.642798
1	292	-1.2171
1	293	-0.322609
1	294	-2.31257
1	295	-0.293868
1	296	-1.23645
1	297	6.95656
1	298	-1.7221
1	299	-0.332889
1	300	-0.816565
1	301	0.835447
1	302	-2.03104
1	303	0.350658
1	304	-0.316526
1	305	2.2382
1	306	0.630796
1	307	1.69641
1	308	4.76232
1	309	-0.23111
1	310	0.273768
1	311	1.80513
1	312	-0.966498
1	313	-0.50023
1	314	-0.291313
1	315	-0.184717
1	316	12.3631
1	317	1.05561
1	318	2.67464
1	319	-0.383927
1	320	-0.117629
1	321	7.7226
1	322	1.2927
1	323	1.20754
1	324	-1.76449
1	325	7.93429
1	326	-3.46649
1	327	0.355833
1	328	-0.655529
1	329	-0.850828
1	330	-5.5332
1	331	26.1613
1	332	0.215573
1	333	0.702848
1	334	0.422351
1	335	-0.826775
1	336	0.272477
1	337	1.56598
1	338	1.21583
1	339	-1.0505
1	340	0.341107
1	341	1.27525
1	342	0.319733
1	343	9.36756
1	344	0.814599
1	345	0.60729
1	346	1.91187
1	347	2.67481
1	348	-1.09757
1	349	2.26312
1	350	2.7319
1	351	3.14165
1	352	25.2377
1	353	1.36915
1	354	-0.503101
1	355	-1.80247
1	356	-2.54674
1	357	-2.58116
1	358	0.28817
1	359	-0.594425
1	360	-0.367487
1	361	0.913926
1	362	-0.0664077
1	363	0.0495844
1	364	8.37383
1	365	1.81802
1	366	0.832051
1	367	-0.590219
1	368	-2.13909
1	369	-5.24779
1	370	-0.35268
1	371	2.18724
1	372	0.196489
1	373	1.27449
1	374	-1.24664
1	375	-0.115387
1	376	0.709777
1	377	-0.370628
1	378	0.512624
1	379	2.32174
1	380	-0.703204
1	381	-0.50631
1	382	0.164306
1	383	-2.38492
1	384	-2.72489
1	385	8.78947
1	386	0.0701562
1	387	-0.448071
1	388	-6.26805
1	389	0.174173
1	390	-0.864972
1	391	-0.0286376
1	392	-0.0114694
1	393	9.21064
1	394	2.64907
1	395	-0.720294
1	396	-0.188905
1	397	0.295275
1	398	2.9844
1	399	-3.31367
1	400	-1.81296
1	401	-0.060576
1	402	-1.62726
1	403	-0.598497
1	404	0.957483
1	405	-3.41277
1	406	-0.0815414
1	407	0.785569
1	408	1.27907
1	409	2.22091
1	410	-15.1814
1	411	-19.3731
1	412	-0.678438
1	413	0.859669
1	414	-1.48986
1	415	-12.8603
1	416	0.757427
1	417	0.476726
1	418	1.78763
1	419	-142.084
1	420	0.610526
1	421	2.49106
1	422	-27.1916
1	423	0.791325
1	424	5.81281
1	425	-0.200372
1	426	0.896691
1	427	5.38927
1	428	-1.80227
1	429	-4.45214
1	430	-0.147332
1	431	-1.73289
1	432	-0.302218
1	433	0.267932
1	434	0.201672
1	435	-11.6771
1	436	0.750535
1	437	0.524663
1	438	3.73206
1	439	0.931925
1	440	3.8536
1	441	4.82954
1	442	5.73215
1	443	-7.74285
1	444	-0.762636
1	445	1.82773
1	446	-3.19911
1	447	0.39077
1	448	-0.0447568
1	449	-1.20769
1	450	-0.389964
1	451	-0.234731
1	452	-2.14778
1	453	0.205194
1	454	-1.43303
1	455	1.41269
1	456	-0.446541
1	457	1.36519
1	458	0.0344642
1	459	0.72723
1	460	-0.68415
1	461	2.75008
1	462	0.0422272
1	463	-0.320589
1	464	-25.9247
1	465	-3.76355
1	466	0.788797
1	467	0.527417
1	468	-4.8549
1	469	0.772716
1	470	-1.12168
1	471	0.0720998
1	472	-2.49072
1	473	-5.32287
1	474	-15.8227
1	475	-0.854908
1	476	0.667704
1	477	-0.559874
1	478	1.30971
1	479	-0.268966
1	480	-0.737149
1	481	-0.458787
1	482	-0.292461
1	483	-7.09762
1	484	12.7226
1	485	-1.1902
1	486	-0.0754987
1	487	-2.26399
1	488	5.58234
1	489	-1.85703
1	490	-2.94286
1	491	-0.312653
1	492	8.16659
1	493	0.0841477
1	494	-1.09381
1	495	-12.1174
1	496	-3.07785
1	497	0.753437
1	498	0.140742
1	499	0.0423488
1	500	0.808228
1	501	0.200973
1	502	2.15313
1	503	0.652354
1	504	10.0638
1	505	9.35753
1	506	-2.83373
1	507	-1.48492
1	508	-0.604567
1	509	-1.46199
1	510	6.11851
1	511	-0.0666838
1	512	1.45047
1	513	1.2151
1	514	0.177193
1	515	2.30342
1	516	-0.601413
1	517	-1.56726
1	518	48.0062
1	519	2.61206
1	520	1.35311
1	521	-0.71095
1	522	-0.0298355
1	523	1.90513
1	524	14.0065
1	525	-0.848042
1	526	-1.10168
1	527	3.26927
1	528	-0.777133
1	529	-1.52804
1	530	2.34223
1	531	0.253597
1	532	1.57758
1	533	-1.25561
1	534	0.218698
1	535	0.171254
1	536	0.50771
1	537	0.848346
1	538	1.65498
1	539	4.20047
1	540	9.50972
1	541	-0.66688
1	542	-7.178
1	543	-2.58294
1	544	0.267302
1	545	0.713211
1	546	0.431405
1	547	-0.549257
1	548	-0.145981
1	549	-0.355151
1	550	-9.65004
1	551	-1.40536
1	552	0.0290533
1	553	2.61272
1	554	1.1771
1	555	0.738133
1	556	3.51989
1	557	1.06072
1	558	-1.28008
1	559	4.35786
1	560	-2.86131
1	561	-0.168044
1	562	0.358726
1	563	-0.641568
1	564	0.206376
1	565	1.33336
1	566	8.53302
1	567	0.438511
1	568	0.715142
1	569	-0.943016
1	570	2.51155
1	571	1.86422
1	572	-0.570236
1	573	-1.14059
1	574	0.870621
1	575	-1.15857
1	576	0.239795
1	577	-27.5809
1	578	53.4769
1	579	-0.34728
1	580	-0.00489999
1	581	0.530061
1	582	-1.73997
1	583	-1.50866
1	584	1.35641
1	585	0.0568894
1	586	0.207689
1	587	5.96984
1	588	6.46263
1	589	-21.0823
1	590	1.33472
1	591	0.0980014
1	592	-0.776956
1	593	-892.603
1	594	-4.08899
1	595	-0.884509
1	596	0.744057
1	597	1.73606
1	598	37.5784
1	599	-0.259377
1	600	-0.45577
1	601	-0.623732
1	602	-1.24831
1	603	-5.0141
1	604	0.758791
1	605	1.65708
1	606	2.79922
1	607	-1.02232
1	608	537.148
1	609	-1.87821
1	610	0.103337
1	611	1.36948
1	612	0.130908
1	613	-1.7183
1	614	1.86398
1	615	1.8858
1	616	-0.536861
1	617	2.15367
1	618	0.586013
1	619	1.23775
1	620	2.36628
1	621	-1.88527
1	622	0.323752
1	623	-0.492317
1	624	45.0485
1	625	0.0351894
1	626	-0.413369
1	627	-0.406641
1	628	2.20149
1	629	-0.582932
1	630	-0.36801
1	631	0.484093
1	632	0.475211
1	633	2.98257
1	634	-10.3793
1	635	-12.6585
1	636	239.112
1	637	-1.66199
1	638	-0.164056
1	639	1.07131
1	640	0.385046
1	641	0.497387
1	642	-1.35545
1	643	0.987089
1	644	3.86294
1	645	-0.3754
1	646	-0.162006
1	647	1.69197
1	648	1.06208
1	649	0.36788
1	650	-2.05227
1	651	-3.92186
1	652	-10.8753
1	653	0.299352
1	654	-0.0541208
1	655	-10.5858
1	656	2.8427
1	657	0.259862
1	658	2.23154
1	659	-3.56656
1	660	0.438415
1	661	0.587618
1	662	-3.81353
1	663	2.08582
1	664	4.90424
1	665	-5.69599
1	666	0.34339
1	667	-5.52135
1	668	-0.35553
1	669	-0.338255
1	670	1.76929
1	671	0.866144
1	672	-0.290936
1	673	-0.569238
1	674	-1.68995
1	675	0.728028
1	676	1.57501
1	677	-1.26875
1	678	1.54592
1	679	-2.2288
1	680	0.807679
1	681	-0.114785
1	682	0.616525
1	683	-0.679935
1	684	-0.491298
1	685	1.79646
1	686	-12.8378
1	687	-2.98851
1	688	-1.50941
1	689	0.807283
1	690	0.828048
1	691	-1.39422
1	692	-0.312442
1	693	-0.626967
1	694	0.228957
1	695	-0.231725
1	696	-0.366126
1	697	-0.944751
1	698	11.3232
1	699	5.48679
1	700	-0.0920855
1	701	0.523026
1	702	-1.23898
1	703	-0.556956
1	704	0.542451
1	705	-0.520522
1	706	0.121117
1	707	-0.0236343
1	708	-1.96155
1	709	0.0170889
1	710	-1.2917
1	711	0.454039
1	712	-1.31465
1	713	-84.1845
1	714	-0.788089
1	715	-32.1801
1	716	-0.342256
1	717	2.31187
1	718	-1.26517
1	719	-3.67172
1	720	-0.0127935
1	721	-0.0167221
1	722	0.2037
1	723	-0.0899229
1	724	-14.3366
1	725	-0.302827
1	726	-0.956162
1	727	3.06493
1	728	1.82838
1	729	-2.91781
1	730	-0.242171
1	731	0.012726
1	732	2.97413
1	733	-1.95068
1	734	-0.355719
1	735	0.0577205
1	736	-0.274864
1	737	0.848324
1	738	0.527301
1	739	0.724711
1	740	0.623763
1	741	3.16744
1	742	1.01618
1	743	0.107016
1	744	9.91427
1	745	0.185147
1	746	-0.345331
1	747	0.897752
1	748	-0.463714
1	749	-4.46748
1	750	-0.554281
1	751	0.47517
1	752	0.567365
1	753	4.24293
1	754	-1.3274
1	755	215.685
1	756	-1.62685
1	757	-7.64389
1	758	0.891014
1	759	1.01781
1	760	-0.141336
1	761	0.0530102
1	762	2.13285
1	763	-1.47339
1	764	0.298643
1	765	-1.02999
1	766	-0.210359
1	767	-6.14734
1	768	-0.406098
1	769	1.03235
1	770	-48.8825
1	771	-0.954687
1	772	-0.171881
1	773	10.6487
1	774	-0.566714
1	775	0.580986
1	776	-7.13856
1	777	15.3181
1	778	-1.49978
1	779	0.0571289
1	780	-1.29856
1	781	0.904689
1	782	-2.87841
1	783	3.50556
1	784	-0.148499
1	785	-32.7636
1	786	-0.161511
1	787	-0.608789
1	788	0.239915
1	789	0.0924627
1	790	-8.4641
1	791	0.101628
1	792	15.4092
1	793	-0.393487
1	794	8.20658
1	795	0.594042
1	796	-0.132098
1	797	0.370184
1	798	-12.8566
1	799	-0.543459
1	800	-1.80553
1	801	-40.078
1	802	0.752891
1	803	-0.545311
1	804	-0.117831
1	805	0.590215
1	806	11.9245
1	807	0.797703
1	808	0.0140789
1	809	-0.397366
1	810	-0.482245
1	811	2.22953
1	812	0.900679
1	813	-1.96434
1	814	6.32896
1	815	8.05191
1	816	-2.14877
1	817	-0.0506998
1	818	59.5725
1	819	-0.55467
1	820	3.27582
1	821	-0.471234
1	822	2.53545
1	823	-0.446922
1	824	0.546693
1	825	0.424313
1	826	-1.31609
1	827	-0.179925
1	828	0.357866
1	829	-0.039467
1	830	0.00125372
1	831	1.44959
1	832	9.83644
1	833	-6.07306
1	834	0.166938
1	835	0.00875495
1	836	0.557252
1	837	-2.01864
1	838	0.406968
1	839	-0.854625
1	840	-0.707893
1	841	1.49652
1	842	-1.9518
1	843	-1.21508
1	844	0.723615
1	845	-1.02011
1	846	0.207609
1	847	-0.452647
1	848	-53.8558
1	849	1.17359
1	850	-0.242615
1	851	3.13335
1	852	0.157243
1	853	-9.75678
1	854	1.43914
1	855	2.23304
1	856	1.40288
1	857	1.07321
1	858	0.857739
1	859	-0.182635
1	860	-2.18766
1	861	10.7598
1	862	0.378626
1	863	3.43888
1	864	0.526604
1	865	2.4864
1	866	0.698017
1	867	-4.74972
1	868	-2.15316
1	869	1.78091
1	870	-0.0980463
1	871	1.80077
1	872	-0.743726
1	873	2.95513
1	874	1.10935
1	875	7.15028
1	876	21.8808
1	877	1.52503
1	878	0.501747
1	879	4.40997
1	880	0.944401
1	881	-2.11372
1	882	-0.864912
1	883	-0.955824
1	884	-3.756
1	885	0.729039
1	886	-0.551581
1	887	-0.296658
1	888	33.9584
1	889	1.67693
1	890	18.9627
1	891	0.549133
1	892	-0.362207
1	893	-0.288453
1	894	-27.712
1	895	1.45604
1	896	-1.38347
1	897	-21.212
1	898	2.11057
1	899	1.19843
1	900	0.539745
1	901	3.04709
1	902	0.56467
1	903	0.442957
1	904	-0.344326
1	905	-0.381602
1	906	-3.74101
1	907	2.65322
1	908	1.03478
1	909	-0.744126
1	910	1.93353
1	911	0.123559
1	912	0.836489
1	913	-82.6106
1	914	-1.49856
1	915	-1.54622
1	916	0.144596
1	917	0.448092
1	918	-4.02353
1	919	1.37966
1	920	4.80143
1	921	1.82537
1	922	-0.707511
1	923	1.1454
1	924	1.24861
1	925	2.01727
1	926	-0.318623
1	927	0.53622
1	928	0.217423
1	929	-0.560592
1	930	-1.49586
1	931	0.843346
1	932	-0.201689
1	933	7.60624
1	934	0.101086
1	935	-0.494407
1	936	2.46581
1	937	0.634779
1	938	0.860453
1	939	-0.963512
1	940	0.520332
1	941	-2.08421
1	942	4.47559
1	943	-2.05152
1	944	-1.30613
1	945	-0.0324015
1	946	-1.71448
1	947	3.24073
1	948	-0.0404639
1	949	0.014443
1	950	1.02246
1	951	-0.596209
1	952	23.6547
1	953	0.437977
1	954	-1.13046
1	955	1.15779
1	956	-2.15335
1	957	0.198664
1	958	-0.119649
1	959	0.0817264
1	960	13.9484
1	961	0.235294
1	962	0.469729
1	963	-0.0487922
1	964	-1.36782
1	965	-1.58027
1	966	-1.09387
1	967	1.2303
1	968	1.943
1	969	-0.727379
1	970	-0.0961624
1	971	-0.890619
1	972	-17.6981
1	973	0.981934
1	974	-2.00089
1	975	2.40183
1	976	-0.228315
1	977	-1.93407
1	978	3.09307
1	979	1.14033
1	980	1.2211
1	981	-0.0351078
1	982	-0.971056
1	983	-1.47087
1	984	-0.757201
1	985	-1.68268
1	986	0.817648
1	987	0.406793
1	988	0.0526075
1	989	0.355426
1	990	-0.20574
1	991	8.69056
1	992	0.175253
1	993	0.0177202
1	994	63.8438
1	995	0.248126
1	996	0.0393688
1	997	0.528745
1	998	3.02118
1	999	-0.818431
1	1000	1.83849
1	1001	-0.847261
1	1002	11.8359
1	1003	-3.15653
1	1004	-2.30547
1	1005	5.8964
1	1006	1.66075
1	1007	-0.782529
1	1008	0.216455
1	1009	2.97593
1	1010	-1.69973
1	1011	0.634493
1	1012	-1.20871
1	1013	-1.43583
1	1014	0.336293
1	1015	-0.707675
1	1016	0.33805
1	1017	-0.657588
1	1018	-1.74326
1	1019	2.83029
1	1020	0.38757
1	1021	0.103292
1	1022	-0.168188
1	1023	-1.54031
1	1024	-0.310866
1	1025	2.23072
1	1026	-0.208374
1	1027	-2.329
1	1028	-0.422188
1	1029	-2.67864
1	1030	-1.45483
1	1031	-1.63779
1	1032	0.229466
1	1033	0.0349172
1	1034	2.07649
1	1035	-0.248384
1	1036	-0.0890445
1	1037	-3.43611
1	1038	-1.74762
1	1039	1.05301
1	1040	0.511947
1	1041	-3.00144
1	1042	-0.469211
1	1043	-0.881239
1	1044	2.39246
1	1045	-0.321878
1	1046	3.03237
1	1047	0.0342976
1	1048	0.815621
1	1049	-45.8327
1	1050	-0.814906
1	1051	-0.247772
1	1052	0.593463
1	1053	-4.14502
1	1054	0.0940427
1	1055	2.75889
1	1056	-5.45913
1	1057	4.36131
1	1058	0.782661
1	1059	1.5913
1	1060	-3.1242
1	1061	6.8036
1	1062	-0.3819
1	1063	-32.8606
1	1064	1.84165
1	1065	-4.36501
1	1066	-2.75716
1	1067	-0.116727
1	1068	-20.5542
1	1069	0.644641
1	1070	-1.12091
1	1071	16.814
1	1072	-0.613031
1	1073	4.63408
1	1074	-6.58919
1	1075	2.19147
1	1076	-1.11074
1	1077	0.442497
1	1078	-1.21061
1	1079	-1.94862
1	1080	0.296351
1	1081	3.94201
1	1082	1.28592
1	1083	79.3118
1	1084	2.13644
1	1085	15.2331
1	1086	-0.463491
1	1087	0.894149
1	1088	-0.552333
1	1089	1.33726
1	1090	3.24872
1	1091	-3.4256
1	1092	-0.0908588
1	1093	0.288685
1	1094	1.91303
1	1095	0.756933
1	1096	0.287654
1	1097	-0.214191
1	1098	1.79674
1	1099	0.0810803
1	1100	0.11717
1	1101	0.303312
1	1102	-1.47727
1	1103	0.431816
1	1104	0.139023
1	1105	1.90249
1	1106	0.582774
1	1107	-1.67095
1	1108	-2.59237
1	1109	0.115819
1	1110	-0.0336518
1	1111	-12.2447
1	1112	-3.59757
1	1113	0.162373
1	1114	8.01781
1	1115	-71.5391
1	1116	-0.836601
1	1117	2.13481
1	1118	0.791418
1	1119	-0.330469
1	1120	0.387565
1	1121	-0.389822
1	1122	1.08492
1	1123	0.268893
1	1124	-1.82925
1	1125	-2.40663
1	1126	-12.644
1	1127	0.264153
1	1128	-3.52856
1	1129	0.567329
1	1130	-0.546851
1	1131	-5.54071
1	1132	6.27672
1	1133	1.87502
1	1134	0.832592
1	1135	-2.27539
1	1136	-2.02829
1	1137	-0.713478
1	1138	-0.842158
1	1139	1.02463
1	1140	-0.475916
1	1141	-3.33616
1	1142	-0.73689
1	1143	0.968154
1	1144	-0.449467
1	1145	0.986718
1	1146	50.2991
1	1147	-2.21986
1	1148	-0.361934
1	1149	-1.93142
1	1150	0.341491
1	1151	-0.583349
1	1152	-0.124454
1	1153	-3.49439
1	1154	0.426349
1	1155	2.4182
1	1156	-0.272714
1	1157	-0.530128
1	1158	2.26257
1	1159	-0.903364
1	1160	-0.752924
1	1161	0.201075
1	1162	0.102626
1	1163	-1.3515
1	1164	0.557868
1	1165	6.81221
1	1166	0.587075
1	1167	0.268026
1	1168	-0.582848
1	1169	0.561133
1	1170	-0.330009
1	1171	-1.07312
1	1172	-0.925115
1	1173	0.462838
1	1174	0.678809
1	1175	-0.154057
1	1176	5.56725
1	1177	0.710304
1	1178	-1.17966
1	1179	-5.50376
1	1180	-10.0133
1	1181	-2.65566
1	1182	-1.59259
1	1183	-3.47018
1	1184	0.67097
1	1185	-1.57169
1	1186	6.60118
1	1187	-0.194416
1	1188	-7.04672
1	1189	-14.0789
1	1190	0.809369
1	1191	-0.0269977
1	1192	-0.529802
1	1193	0.893687
1	1194	0.706568
1	1195	2.50513
1	1196	7.95349
1	1197	2.2426
1	1198	2.64986
1	1199	1.33388
1	1200	-7.09508
1	1201	-0.815812
1	1202	6.57129
1	1203	-0.726338
1	1204	1.77215
1	1205	0.797429
1	1206	3.43451
1	1207	4.79536
1	1208	-0.39876
1	1209	-0.531273
1	1210	-1.71468
1	1211	-2.44416
1	1212	4.6081
1	1213	3.92176
1	1214	-0.843055
1	1215	-0.602877
1	1216	1.61519
1	1217	1.96018
1	1218	-0.348822
1	1219	2.4984
1	1220	0.510308
1	1221	0.177543
1	1222	0.5551
1	1223	1.15727
1	1224	-1.39232
1	1225	0.333715
1	1226	0.219958
1	1227	-0.521714
1	1228	-0.279234
1	1229	-0.179852
1	1230	-0.767207
1	1231	-0.0882834
1	1232	-1.05781
1	1233	1.4133
1	1234	-0.87311
1	1235	-0.355538
1	1236	1.34828
1	1237	0.906917
1	1238	-2.77487
1	1239	-2.46774
1	1240	0.400106
1	1241	-0.874836
1	1242	-0.296849
1	1243	-4.32288
1	1244	0.993917
1	1245	1.43732
1	1246	0.914074
1	1247	-0.246284
1	1248	5.51505
1	1249	19.1316
1	1250	0.00749183
1	1251	-0.263265
1	1252	-2.0207
1	1253	3.74628
1	1254	-0.50966
1	1255	10.008
1	1256	-0.22225
1	1257	-0.31507
1	1258	1.14981
1	1259	-0.740226
1	1260	-0.718228
1	1261	0.0780569
1	1262	-1.91496
1	1263	0.0745451
1	1264	-4.57062
1	1265	0.48701
1	1266	-1.30084
1	1267	-1.07519
1	1268	-0.526254
1	1269	-0.0953649
1	1270	-16.6825
1	1271	7.64153
1	1272	214.848
1	1273	-69.5704
1	1274	-0.68552
1	1275	0.949444
1	1276	0.464826
1	1277	-0.739789
1	1278	-0.379046
1	1279	0.869416
1	1280	4.05205
1	1281	0.39259
1	1282	54.5535
1	1283	0.490095
1	1284	0.16186
1	1285	4.1476
1	1286	-0.915755
1	1287	0.817252
1	1288	-1.63303
1	1289	-4.29691
1	1290	0.219109
1	1291	-0.182185
1	1292	-4.52449
1	1293	0.206729
1	1294	0.188658
1	1295	0.0335311
1	1296	4.89096
1	1297	0.606467
1	1298	-0.632458
1	1299	-3.42518
1	1300	0.845739
1	1301	-0.482381
1	1302	0.22508
1	1303	0.550581
1	1304	2.16546
1	1305	1.22963
1	1306	0.228103
1	1307	1.2975
1	1308	-0.542199
1	1309	-0.00275919
1	1310	1.08018
1	1311	-0.151517
1	1312	-3.53577
1	1313	-3.04474
1	1314	0.335695
1	1315	0.0559152
1	1316	-6.45594
1	1317	1.78762
1	1318	-0.149637
1	1319	1.16149
1	1320	-1.2645
1	1321	-2.47238
1	1322	8.26638
1	1323	0.388741
1	1324	1.36388
1	1325	1.75517
1	1326	-2.55174
1	1327	-1.20205
1	1328	-0.0509204
1	1329	-3.30174
1	1330	-2.03572
1	1331	0.863451
1	1332	0.104408
1	1333	0.419382
1	1334	-0.0194441
1	1335	-0.466062
1	1336	2.39468
1	1337	1.06792
1	1338	0.413712
1	1339	-0.226742
1	1340	1.36349
1	1341	-0.112901
1	1342	0.124174
1	1343	-1.51564
1	1344	-0.980451
1	1345	4.38427
1	1346	0.084293
1	1347	0.417255
1	1348	-0.602924
1	1349	-0.899376
1	1350	0.877056
1	1351	-1.33526
1	1352	-1.27531
1	1353	-0.202671
1	1354	-2.36125
1	1355	-0.368762
1	1356	0.778735
1	1357	-1.38765
1	1358	2.19952
1	1359	-0.395319
1	1360	-0.142424
1	1361	0.0303358
1	1362	0.200555
1	1363	-1.18019
1	1364	1.81499
1	1365	-1.0001
1	1366	2.22305
1	1367	-2.19301
1	1368	5.5837
1	1369	0.557765
1	1370	1.97698
1	1371	-1.94515
1	1372	-0.817422
1	1373	0.413434
1	1374	0.526826
1	1375	-6.55307
1	1376	-1.68458
1	1377	-0.719471
1	1378	-0.143715
1	1379	0.776656
1	1380	-1.49958
1	1381	-0.294128
1	1382	-0.605287
1	1383	-0.0331564
1	1384	-2.76582
1	1385	-13.0902
1	1386	-1.52705
1	1387	-1.81145
1	1388	0.662688
1	1389	-0.141975
1	1390	-0.444138
1	1391	-0.0144274
1	1392	-0.124465
1	1393	-1.39894
1	1394	-1.05369
1	1395	-0.067851
1	1396	-7.56544
1	1397	0.772764
1	1398	0.398765
1	1399	-0.296138
1	1400	1.517
1	1401	2.47411
1	1402	0.495495
1	1403	-0.0519706
1	1404	-5.44824
1	1405	-0.736481
1	1406	-1.82461
1	1407	-0.0802628
1	1408	-0.439231
1	1409	-0.473079
1	1410	-1.55074
1	1411	-0.187618
1	1412	-0.233912
1	1413	0.324207
1	1414	-18.9886
1	1415	-0.0306294
1	1416	0.534819
1	1417	0.802911
1	1418	-0.735432
1	1419	1.52091
1	1420	1.50095
